A375_vivo_vehicle_rep1	A375_vivo_vehicle_rep2	A375_vivo_vehicle_rep3	A375_vivo_vehicle_rep4	A375_vivo_vem_rep1	A375_vivo_vem_rep2	A375_vivo_vem_rep3	A375_vivo_vem_rep4
ABCG4	6.41390303727192	1.56585705669208	4.5803513491873	5.82202780022777	2.01855298435165	1.01525174557847	3.1395110442951	3.85970429673935
ABCG5	1.60347575931798	1.56585705669208	0.508927927687478	1.45550695005694	1.00927649217583	0	0.784877761073775	1.92985214836967
ABCG8	0	0	0	0	0	0	0	0.643284049456558
ABHD1	70.5529334099911	56.370854040915	75.8302612254342	82.9638961532458	115.057520108044	122.845461214995	106.743375506033	103.568731962506
ABHD10	678.270246191506	634.172107960294	540.990387131789	665.166676176023	961.840497043563	830.475927883191	946.562579854973	933.405155761465
ABHD11	186.003188080886	216.088273823507	172.526567486055	224.148070308769	175.614109638594	157.364020564663	158.545307736903	139.592638732073
ABHD11-AS1	40.0868939829495	67.3318534377596	44.2767297088106	45.1207154517652	253.328399536132	205.080852606852	203.283340118108	137.019502534247
ABHD12	888.325570662161	847.128667670417	754.740116760529	864.571128333824	944.682796676574	1093.42612998802	971.678668209334	907.030509733746
ABHD12B	6.41390303727192	10.9609993968446	3.05356756612487	8.73304170034166	26.2411887965715	20.3050349115695	15.6975552214755	18.6552374342402
ABHD13	679.873721950824	588.762253316223	736.41871136378	640.423058025055	530.879434884485	576.662991488573	580.809543194594	544.861589889704
ABHD14A	197.227518396112	211.390702653431	207.133666568803	234.336618959168	335.079795402374	336.048327786475	271.567705331526	271.465868870667
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	1369.36829845756	1271.47593003397	1321.17690027669	1439.49637360632	3029.84802951183	3227.48529919397	3181.10956563201	3436.42339219693
ABHD15	219.676179026563	165.980848009361	183.214053967492	152.828229755979	278.560311840528	290.361999235443	299.823304730182	307.489775640235
ABHD16A	319.091676104278	277.156699034499	280.4192881558	278.001827460876	334.070518910199	395.948180775604	389.299369492593	304.273355392952
ABHD16B	99.4154970777148	101.780708684985	103.821297248245	129.540118555068	140.28943241244	158.379272310242	136.568730426837	159.534444265226
ABHD2	740.805800804907	825.206668876728	719.624089750093	751.041586229383	916.42305489565	1158.40224170504	1184.38054146033	1049.19628466365
ABHD3	49.7077485388574	50.1074258141467	56.9999279009975	50.942743251993	17.1577003669891	20.3050349115695	17.2673107436231	16.7253852858705
ABHD4	192.417091118158	181.639418576282	193.901540448929	181.938368757118	475.369227814814	352.29235571573	375.171569793265	418.777916196219
ABHD5	553.199136964703	447.835118213936	509.945783542853	429.374550266798	498.582587134858	472.09206169399	458.368612467085	512.05410336742
ABHD6	169.968430487706	189.468703859742	153.187306233931	196.493438257687	193.781086497759	215.233370062636	187.585784896632	173.686693353271
