id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
74	ABCD3	430.7315272	465.566663	430.1533264	512.691111	518.4000169	458.2981854	555.9459492	503.3600733	503.3958368	564.0807362	492.4250958	518.7730551
75	ABCD4	384.8614165	314.4833015	281.2082688	392.4864455	310.5622221	323.7115782	364.4534556	313.7829028	349.1486564	372.536774	358.9640886	375.1269005
76	ABCE1	2650.397371	2324.548894	2230.601183	2209.216048	2854.783503	2420.799628	2948.829972	2558.824862	2347.187714	2253.888064	2425.30865	2163.841755
77	ABCF1	1307.857546	1248.079943	1143.898043	1254.863856	1472.781615	1217.437022	1562.825835	1331.709582	1214.84601	1283.993848	1216.105903	1131.785307
78	ABCF2	2805.908234	2550.352831	2571.387475	2160.041413	2594.389025	2548.349027	3075.462105	2732.526112	2581.547771	2684.050352	3001.722138	2705.488402
79	ABCF3	572.816992	483.630978	452.7929752	477.1760962	498.0940255	525.1516635	461.7439967	655.5821362	578.7258551	641.9969242	484.3714144	628.5662942
80	ABCG1	0	0	0	0	5.972350425	3.51860411	0	1.867755374	1.195714577	0.811626959	1.150525925	8.234492938
81	ABCG2	29.08836287	26.27536722	32.17213245	35.51501479	20.30599145	29.02848391	34.74662183	36.42122979	23.91429153	25.97206267	31.06419997	41.17246469
82	ABCG4	3.356349562	3.284420903	2.383120922	7.28513124	2.38894017	2.638953083	0	2.801633061	4.782858307	1.623253917	2.30105185	3.659774639
83	ABCG5	0	1.642210451	0	0	0	0	0	0.933877687	1.195714577	0	0	0
84	ABCG8	0	0	0	0	0	0	0	0	0	0	0	0
85	ABHD1	16.78174781	14.77989406	13.10716507	12.74897967	16.72258119	8.796510276	2.316441455	11.20653224	20.3271478	9.739523502	19.55894072	9.149436598
86	ABHD10	1585.315777	1510.01251	1612.181304	1310.412982	1696.147521	1496.286398	1912.608495	1569.848392	1548.450377	1458.493644	1466.920554	1415.417842
87	ABHD11	543.7286291	495.9475563	469.4748216	473.5335306	410.8977093	544.5039861	683.3502293	571.5331444	536.875845	465.8738742	510.8335106	487.6649706
88	ABHD11-AS1	80.5523895	88.67936438	103.6657601	63.74489835	66.89032476	62.45522296	53.27815347	77.51184802	81.30859122	57.62551406	73.63365919	101.5587462
89	ABHD12	1863.89279	1999.391225	1819.512824	1797.606133	1856.206512	1565.778829	2036.924186	2026.514581	2261.096265	2197.885804	2211.310828	2006.471446
90	ABHD12B	2.237566375	4.105526129	2.383120922	1.82128281	1.194470085	3.51860411	6.177177214	0.933877687	4.782858307	1.623253917	8.053681474	5.489661959
91	ABHD13	564.9855097	758.7012286	694.6797488	657.4830944	736.9880425	628.0708337	553.6295078	659.317647	692.3187399	639.5620433	576.4134884	623.0766323
92	ABHD14A	531.422014	504.9797138	452.7929752	345.1330925	412.0921793	335.1470415	492.6298828	479.0792534	472.3072578	510.5133569	407.2861774	401.6602666
93	ABHD14A-ACY1	0	0	0	0	0	1.759302055	0.772147152	0	0	0	2.30105185	0
94	ABHD14B	5317.57649	4612.148053	4831.777669	2789.294623	3757.802888	4059.589492	4153.379529	4053.963039	4112.062429	4356.001886	4008.432322	4870.245101
95	ABHD15	88.38387181	76.36278599	95.32483688	144.7919834	113.4746581	113.4749826	91.1133639	104.5943009	93.26573698	147.7161065	90.89154807	107.0484082
96	ABHD16A	408.3558634	339.9375635	330.0622477	391.5758041	355.9520853	299.9610004	411.5544319	385.6914847	414.9129581	397.6972097	348.6093552	364.1475766
97	ABHD16B	98.4529205	105.1014689	113.1982438	92.88542331	97.94654698	122.2714928	97.29054112	111.1314447	135.1157472	97.39523502	105.8483851	104.3035772
98	ABHD2	584.0048239	670.0218642	587.4393073	920.6584604	673.681128	630.7097868	739.7169713	815.2752207	853.7402078	642.8085512	770.8523697	688.9525758
99	ABHD3	97.33413731	208.5607273	95.32483688	124.7578725	124.2248888	99.40056612	135.1257515	144.7510415	129.1371743	170.4416613	133.4610073	83.25987304
100	ABHD4	355.7730536	310.3777753	364.6175011	338.7586026	280.70047	408.1580768	298.0488006	313.7829028	358.714373	323.8391565	371.6198737	384.2763371
101	ABHD5	1361.559139	1418.048725	1369.10297	1266.702194	1411.863641	1246.465506	1458.58597	1274.743043	1231.586014	1349.735632	1326.556391	1092.44273
102	ABHD6	201.3809737	176.5376235	152.519739	172.1112255	149.3087606	93.24300893	120.4549557	169.965739	170.9871845	150.9626143	109.2999629	139.9863799
103	ABHD8	700.3582754	711.0771255	813.8357949	667.5001498	642.6249058	723.0731447	525.8322103	637.8384602	638.511584	709.3619618	578.7145402	672.4835899
104	ABI1	1126.61467	1022.276006	1199.901384	864.1986933	1012.910632	1056.460884	969.0446754	979.6376936	1016.35739	947.9802876	1140.171192	1072.313969
105	ABI2	1833.685644	1762.91292	1921.987024	1947.861965	1798.871948	1768.978217	1724.20459	2043.324379	1947.819045	2060.720848	2028.377206	2076.007164
106	ABI3	459.81989	478.7043466	436.1111287	618.325514	529.1502477	638.626646	849.3618669	855.4319612	498.6129785	627.3876389	616.6818957	480.3454214
107	ABI3BP	10.06904869	14.77989406	11.91560461	23.67667653	13.13917094	13.19476541	12.35435443	7.471021496	9.565716614	9.739523502	10.35473332	12.80921124
108	ABL1	1245.205688	1204.561366	1490.642137	1702.899427	1194.470085	1456.702102	1402.991375	1582.922679	1403.768913	1403.303011	1258.675362	1458.420194
109	ABL2	1802.359715	2494.517676	2244.899909	2093.56459	2301.743854	2688.21354	1811.457218	2104.026429	2249.139119	2066.402236	2674.972775	2336.766107
110	ABLIM1	1707.263144	1792.472708	1967.266321	1378.711087	1444.114333	1760.181706	1772.077713	1536.228795	1888.033317	1554.265626	1783.315184	1893.933376
111	ABLIM2	6.712699125	7.389947032	13.10716507	1.82128281	4.77788034	7.916859248	3.088588607	4.669388435	5.978572884	4.869761751	6.903155549	5.489661959
112	ABLIM3	1098.64509	849.0228034	960.3977316	1088.216479	625.9023246	1083.730066	1005.335592	782.5895017	675.5787359	613.5899807	700.6702883	646.8651674
113	ABO	0	0	0	0.910641405	0	0	0	0	0	0	0	0
114	ABP1	0	0	0	0	0	0	0	0	0	0	0	0
115	ABR	3628.213877	2989.644127	3655.707494	3653.493317	3149.817614	3369.943087	3781.976749	3863.451991	3309.737948	3312.249618	3028.184234	3255.369541
116	ABRA	0	0	0	0	2.38894017	0	0	0	1.195714577	0	0	0
